paperID;randomizationProcess;deviationsIntendedInterventions;misingOutcomeData;measurementOutcome;selectionReportedResult;overallBias;weight
1;Some concerns;Low;Some concerns;Low;Some concerns;High;1
2;Low;Low;Low;Low;Some concerns;Some concerns;1
3;Low;Low;Low;Low;Some concerns;Some concerns;1
4;Low;Low;Low;Low;Some concerns;Some concerns;1
5;Low;Low;Low;Low;Some concerns;Some concerns;1
6;Low;Low;Low;Low;Some concerns;Some concerns;1
7;Some concerns;Low;Some concerns;Low;Some concerns;High;1
8;Some concerns;Low;Low;Low;Some concerns;High;1
9;Low;Low;Low;Low;Low;Low;1
10;High;Low;Low;Low;Some concerns;High;1
11;Some concerns;Low;Low;Low;Some concerns;High;1
12;Some concerns;Low;Some concerns;Low;Some concerns;High;1
13;Low;Low;Low;Low;Some concerns;Some concerns;1
14;Some concerns;Low;Low;Low;Some concerns;High;1
15;Low;Low;High;Low;Some concerns;High;1
16;Some concerns;Low;Low;Low;Some concerns;High;1
17;High;Some concerns;Low;Low;Some concerns;High;1
18;Low;Low;Low;Low;Some concerns;Some concerns;1
19;Some concerns;Low;Low;Low;Some concerns;High;1
20;Some concerns;Low;Low;Low;Some concerns;High;1
21;Low;Low;Low;Low;Low;Low;1
22;Some concerns;Some concerns;Low;Low;Some concerns;High;1
23;Low;Low;Low;Low;Low;Low;1
24;Some concerns;Low;Low;Low;Some concerns;High;1
25;Some concerns;Low;Low;Low;Some concerns;High;1
26;Some concerns;Low;Some concerns;Low;Some concerns;High;1
27;Some concerns;Low;Low;Low;Low;Some concerns;1
28;Some concerns;Some concerns;Low;Low;Some concerns;High;1
29;Some concerns;Some concerns;Low;Low;Some concerns;High;1
30;Some concerns;Low;Low;Low;Some concerns;High;1
31;Low;Some concerns;High;Low;Some concerns;High;1
32;Low;Low;Low;Low;Some concerns;Some concerns;1
34;Low;Low;Low;Low;Some concerns;Some concerns;1
35;Low;Low;Low;Low;Some concerns;Some concerns;1
36;Some concerns;Low;Low;Low;Some concerns;High;1
37;Low;Low;Low;Low;Low;Low;1
40;Low;Low;Low;Low;Low;Low;1
42;Some concerns;Low;Low;Low;Some concerns;High;1
44;Low;Low;Low;Low;Some concerns;Some concerns;1
49;Low;Low;Some concerns;High;Low;High;1
50;Low;Low;Low;Low;Low;Low;1
