paperID;studyID;effectID;doi;Author;studyTitle;pubYear;journalH5;citations;source;published;possibleCOI;requestsNotes;notes;gameName;gameTheme;Game_complexity;useMeta;reasonUseMeta;focal;design;randomization;predictedDirection;nTotal;nMale;nFemale;nExp;nCtrl;mExp;mCtrl;sdExp;sdCtrl;seExp;seCtrl;sampleRestricted;meanAge;ageGroup;sampleDescription;controlsActive;Controls_string;controlsText;contrast;items;F;t;chiSq;r;beta;B;otherES;df1;df2;pReported;dReported;interventionDuration(m);interventionDurationString;InterventionDurText;posttestDelay(day);posttestDelayString;posstestDelayText;Attitudes_theme;Att_type_exp_imp;explicitMeasure;explicitMeasure_description;implicitMeasure;implicitMeasure_description;compensation;inLabAdministration;controlledGameplay;gamegenre;gamegenrespecific;relevance_persuasion;relevance_persuasion_note;persuasive_mechanic;Commercial;Culture;;
1;1;1;https://doi.org/10.1007/978-3-319-31510-2_21;Kampf;Long-Term Effects of Computerized Simulations in Protracted Conflicts: The Case of Global Conflicts;2016;14;1;1;1;0;;;Global Conflicts: Palestine;Israeli-Palestine conflict;4;1;;1;1;1;1;100;36;64;60;40;2.91;3.62;0.31;0.53;;;1;23;university students;100 Israeli-Jewish participants from Departments of Communication and Political Science at Tel Aviv University, age is qualified guess;0;Activity unrelated;They were given a lecture about digital natives not related to the conflict;game vs lecture;6;;;;;;;;;;< .0001;;120;Long;qualified guess - probably more, 3h expriment total;0;immediate;;Recent conflict;1;Likert;5-point Likert examined the ‘rightness’ of each side;;;part of the course;1;2;adventure;adventure;1;personal stories, multiperspectivity - very relevant;Perspective-taking;1;Israeli-Jewish;;
1;1;2;https://doi.org/10.1007/978-3-319-31510-2_21;Kampf;Long-Term Effects of Computerized Simulations in Protracted Conflicts: The Case of Global Conflicts;2016;14;1;1;1;0;;;Global Conflicts: Palestine;Israeli-Palestine conflict;4;1;;1;1;1;1;80;29;51;45;35;1.44;1.07;0.34;0.11;;;1;23;university students;80 Palestinian students from the Department of Political Science at Al-Quds University, age is qualified guess;0;Activity unrelated;They were given a lecture about digital natives not related to the conflict;game vs lecture;6;;;;;;;;;;< .0001;;120;Long;qualified guess - probably more, 3h expriment total;0;immediate;;Recent conflict;1;Likert;5-point Likert examined the ‘rightness’ of each side;;;part of the course;1;2;adventure;adventure;1;personal stories, multiperspectivity - very relevant;Perspective-taking;1;Palestinians;;
1;1;3;https://doi.org/10.1007/978-3-319-31510-2_21;Kampf;Long-Term Effects of Computerized Simulations in Protracted Conflicts: The Case of Global Conflicts;2016;14;1;1;1;0;;;Global Conflicts: Palestine;Israeli-Palestine conflict;4;1;;1;1;1;1;100;36;64;60;40;2.93;3.52;0.26;0.47;;;1;23;university students;100 Israeli-Jewish participants from Departments of Communication and Political Science at Tel Aviv University, age is qualified guess;0;Activity unrelated;They were given a lecture about digital natives not related to the conflict;game vs lecture;6;;;;;;;;;;< .0001;;120;Long;qualified guess - probably more, 3h expriment total;365;long;12 months following the intervention;Recent conflict;1;Likert;5-point Likert examined the ‘rightness’ of each side;;;part of the course;3;2;adventure;adventure;1;personal stories, multiperspectivity - very relevant;Perspective-taking;1;Israeli-Jewish;;
1;1;4;https://doi.org/10.1007/978-3-319-31510-2_21;Kampf;Long-Term Effects of Computerized Simulations in Protracted Conflicts: The Case of Global Conflicts;2016;14;1;1;1;0;;;Global Conflicts: Palestine;Israeli-Palestine conflict;4;1;;1;1;1;1;80;29;51;45;35;1.58;1.14;0.36;0.16;;;1;23;university students;80 Palestinian students from the Department of Political Science at Al-Quds University, age is qualified guess;0;Activity unrelated;They were given a lecture about digital natives not related to the conflict;game vs lecture;6;;;;;;;;;;< .0001;;120;Long;qualified guess - probably more, 3h expriment total;365;long;12 months following the intervention;Recent conflict;1;Likert;5-point Likert examined the ‘rightness’ of each side;;;part of the course;3;2;adventure;adventure;1;personal stories, multiperspectivity - very relevant;Perspective-taking;1;Palestinians;;
2;1;1;https://10.1016/j.chb.2014.11.062;Ruggiero;"The effect of a persuasive social impact game on affective learning
and attitude";2015;125;42;1;1;0;should be done;"14 groups from 24 in the control condition without pretestu, 46 groups from 116 without pretest in the experimental, 31 from 60 groups without pretest in reading condition // no hypothesis, only research questions //randomizace:  Pretest–posttest control group design (Campbell, Stanley, &
Gage, 1963) occurred in two steps. In the first step matching was
employed on individual classrooms to ensure that there was equal
representation in the pretest and no pretest groups. Second, randomization
occurred for the experimental condition. For example,
using a Solomon design, classes were assigned to game, reading, or
control with a pretest and two posttests: one, immediately after
treatment and a second at three weeks after the treatment (see
Table 1). The pretest was used to ensure that the control and treatment
groups were equivalent. Additionally classrooms were
matched using the following variables: state, setting, and grade.
This was done to minimize variance in the scores due to contextual
effects and to create equal numbers for each of the treatment and
control groups. To ensure that across states, setting, and grade
there were an equal number of classrooms participating in each
of the groups the total number of classes participating in each
grade were split by state and the type of school setting. Finally
classes were randomly assigned to one of the three groups (control,
reading, or game)";Spent;Homelesness;2;1;;1;1;1;1;5139;;;;;38.73;37.739;;;0.626;0.221;1;;Others;adolescents in grades 7-12 (ages 12-18) in a formal education settings in the -midwesten U.S., sample consisted of public, private and religious schools in four states of the Midwestern U.S.;1;Activity unrelated;"For control groups, on the assigned research day the teacher
escorted their class to the computer lab and started the pretest.
Students logged onto individual computers and accessed the Internet.
Each student received a slip of paper that had the tinyURL for
the Qualtrics™ survey. Students accessed the Qualtrics™ survey
site to complete the pretest measure. Thirty minutes later they
completed the post test measure after a structured period of free
time dependent on each teacher. Some examples of free time activities
provided by the teachers are silent reading, working on other
classwork, and playing a game such as Hangman. Three weeks later
the class returned to the computer lab on the assigned research
day. Students logged onto individual computers and accessed the
Internet. Each student received a slip of paper that had the tinyURL
for the Qualtrics™ survey. Students accessed the Qualtrics™ survey
site to complete the measure.";game vs no game;11;;;;0.147;;;;;;0.115;;30;Medium;approx. 30min;0;immediate;;Social justice;1;Likert;6-point Likert;;;teachers money;1;2;adventure;text adventure;0;meaningful decision, personal perspective, pre-scripted economical model  -- not very persuasive - reduction of homeless problem to bad economic decisions;Economical model;0;USA;;
2;1;2;https://10.1016/j.chb.2014.11.062;Ruggiero;"The effect of a persuasive social impact game on affective learning
and attitude";2015;125;42;1;1;0;should be done;"14 groups from 24 in the control condition without pretestu, 46 groups from 116 without pretest in the experimental, 31 from 60 groups without pretest in reading condition // no hypothesis, only research questions //randomizace:  Pretest–posttest control group design (Campbell, Stanley, &
Gage, 1963) occurred in two steps. In the first step matching was
employed on individual classrooms to ensure that there was equal
representation in the pretest and no pretest groups. Second, randomization
occurred for the experimental condition. For example,
using a Solomon design, classes were assigned to game, reading, or
control with a pretest and two posttests: one, immediately after
treatment and a second at three weeks after the treatment (see
Table 1). The pretest was used to ensure that the control and treatment
groups were equivalent. Additionally classrooms were
matched using the following variables: state, setting, and grade.
This was done to minimize variance in the scores due to contextual
effects and to create equal numbers for each of the treatment and
control groups. To ensure that across states, setting, and grade
there were an equal number of classrooms participating in each
of the groups the total number of classes participating in each
grade were split by state and the type of school setting. Finally
classes were randomly assigned to one of the three groups (control,
reading, or game)";Spent;Homelesness;2;1;;1;1;1;1;5139;;;;;38.35;36.397378;;;0.730179;0.20735;1;;Others;adolescents in grades 7-12 (ages 12-18) in a formal education settings in the -midwesten U.S., sample consisted of public, private and religious schools in four states of the Midwestern U.S.;1;Activity unrelated;"For control groups, on the assigned research day the teacher
escorted their class to the computer lab and started the pretest.
Students logged onto individual computers and accessed the Internet.
Each student received a slip of paper that had the tinyURL for
the Qualtrics™ survey. Students accessed the Qualtrics™ survey
site to complete the pretest measure. Thirty minutes later they
completed the post test measure after a structured period of free
time dependent on each teacher. Some examples of free time activities
provided by the teachers are silent reading, working on other
classwork, and playing a game such as Hangman. Three weeks later
the class returned to the computer lab on the assigned research
day. Students logged onto individual computers and accessed the
Internet. Each student received a slip of paper that had the tinyURL
for the Qualtrics™ survey. Students accessed the Qualtrics™ survey
site to complete the measure.";game vs no game;11;;;;0.286;;;;;;0.009;;30;Medium;approx. 30min;21;medium;three weeks later;Social justice;1;Likert;6-point Likert;;;teachers money;1;2;adventure;text adventure;0;meaningful decision, personal perspective, pre-scripted economical model  -- not very persuasive - reduction of homeless problem to bad economic decisions;Economical model;0;USA;;
2;1;3;https://10.1016/j.chb.2014.11.062;Ruggiero;"The effect of a persuasive social impact game on affective learning
and attitude";2015;125;42;1;1;0;should be done;"14 groups from 24 in the control condition without pretestu, 46 groups from 116 without pretest in the experimental, 31 from 60 groups without pretest in reading condition // no hypothesis, only research questions //randomizace:  Pretest–posttest control group design (Campbell, Stanley, &
Gage, 1963) occurred in two steps. In the first step matching was
employed on individual classrooms to ensure that there was equal
representation in the pretest and no pretest groups. Second, randomization
occurred for the experimental condition. For example,
using a Solomon design, classes were assigned to game, reading, or
control with a pretest and two posttests: one, immediately after
treatment and a second at three weeks after the treatment (see
Table 1). The pretest was used to ensure that the control and treatment
groups were equivalent. Additionally classrooms were
matched using the following variables: state, setting, and grade.
This was done to minimize variance in the scores due to contextual
effects and to create equal numbers for each of the treatment and
control groups. To ensure that across states, setting, and grade
there were an equal number of classrooms participating in each
of the groups the total number of classes participating in each
grade were split by state and the type of school setting. Finally
classes were randomly assigned to one of the three groups (control,
reading, or game)";Spent;Homelesness;2;1;;1;1;1;1;5139;;;;;38.35;36.475229;;;0.626;0.66;1;;Others;adolescents in grades 7-12 (ages 12-18) in a formal education settings in the -midwesten U.S., sample consisted of public, private and religious schools in four states of the Midwestern U.S.;1;Activity related;first person reading about being a homeless;game vs related reading;11;;;;;;;;;;;;30;Medium;approx. 30min;21;medium;three weeks later;Social justice;1;Likert;6-point Likert;;;teachers money;1;2;adventure;text adventure;1;meaningful decision, personal perspective, pre-scripted economical model  -- not very persuasive - reduction of homeless problem to bad economic decisions;Economical model;0;USA;;
2;1;4;https://10.1016/j.chb.2014.11.062;Ruggiero;"The effect of a persuasive social impact game on affective learning
and attitude";2015;125;42;1;1;0;should be done;"14 groups from 24 in the control condition without pretestu, 46 groups from 116 without pretest in the experimental, 31 from 60 groups without pretest in reading condition // no hypothesis, only research questions //randomizace:  Pretest–posttest control group design (Campbell, Stanley, &
Gage, 1963) occurred in two steps. In the first step matching was
employed on individual classrooms to ensure that there was equal
representation in the pretest and no pretest groups. Second, randomization
occurred for the experimental condition. For example,
using a Solomon design, classes were assigned to game, reading, or
control with a pretest and two posttests: one, immediately after
treatment and a second at three weeks after the treatment (see
Table 1). The pretest was used to ensure that the control and treatment
groups were equivalent. Additionally classrooms were
matched using the following variables: state, setting, and grade.
This was done to minimize variance in the scores due to contextual
effects and to create equal numbers for each of the treatment and
control groups. To ensure that across states, setting, and grade
there were an equal number of classrooms participating in each
of the groups the total number of classes participating in each
grade were split by state and the type of school setting. Finally
classes were randomly assigned to one of the three groups (control,
reading, or game)";Spent;Homelesness;2;1;;1;1;1;1;5139;;;;;38.35;36.916071;;;0.730179;0.768835;1;;Others;adolescents in grades 7-12 (ages 12-18) in a formal education settings in the -midwesten U.S., sample consisted of public, private and religious schools in four states of the Midwestern U.S.;1;activity related;first person reading about being a homeless;game vs related reading;11;;;;;;;;;;;;30;Medium;approx. 30min;21;medium;three weeks later;Social justice;1;Likert;6-point Likert;;;teachers money;1;2;adventure;text adventure;1;meaningful decision, personal perspective, pre-scripted economical model  -- not very persuasive - reduction of homeless problem to bad economic decisions;Economical model;0;USA;;
3;1;1;10.1007/s10956-015-9580-6;Price;"Casual Games and Casual Learning About Human Biological
Systems";2016;33;8;1;1;0;;"they are talking about 4 attitude questions, I can recognize only two;  randomization - viz sample description";Code Fred;Human body /health ;3;1;;1;1;1;1;127;79;47;81;46;3.802;3.375;0.843;1.044;;;1;11.8;elementary school;"Recruitment for the
study took place at a large, urban science museum on the
south side of Chicago. The testing cohort was recruited
from the Museum’s public spaces via convenience sampling
of children aged 7–12.";1;Game sim mechanic;same game mechanic, different theme;game vs non-related topic game;1;;;;;;;;;;;;12.5;short;both games také about 10-15 min to complete;0;immediate;data collected in the museum from the visitors, posttest collected from the link provided at the muzeum at home - the delay between these two actions is unclear;Health;1;Likert;5-poin Likert;;;small science toy 10 dollars amazon gift card;2, 3;2;adventure;casual adventure;2;somehow, gameplay does not pursue why it is important to know the depicted processes as everything is automatic. problematic dissonance between the need to know the processes and the fact that they are automatic in hte human bodys;Procedural rhetorics;0;USA;;
3;1;2;10.1007/s10956-015-9580-6;Price;"Casual Games and Casual Learning About Human Biological
Systems";2016;33;8;1;1;0;;"they are talking about 4 attitude questions, I can recognize only two;  randomization - viz sample description";Code Fred;Human body /health ;3;1;;1;1;1;1;127;79;47;81;46;4.365;4.229;0.705;0.778;;;1;11.8;elementary school;"Recruitment for the
study took place at a large, urban science museum on the
south side of Chicago. The testing cohort was recruited
from the Museum’s public spaces via convenience sampling
of children aged 7–12.";1;Game sim mechanic;same game mechanic, different theme;game vs non-related topic game;1;;;;;;;;;;;;12.5;short;both games také about 10-15 min to complete;0;immediate;data collected in the museum from the visitors, posttest collected from the link provided at the muzeum at home - the delay between these two actions is unclear;Health;1;Likert;Likert;;;small science toy 10 dollars amazon gift card;2, 3;2;adventure;casual adventure;2;somehow, gameplay does not pursue why it is important to know the depicted processes as everything is automatic. problematic dissonance between the need to know the processes and the fact that they are automatic in hte human bodys;Procedural rhetorics;0;USA;;
