paperID;studyID;effectID;doi;Algoritm risk of bias;coder risk of bias;Author;studyTitle;pubYear;journalH5;citations;source;published;possibleCOI;requestsNotes;notes;gameName;gameTheme;Game_ complexity;useMeta;reasonUseMeta;focal;design;randomization;predictedDirection;nTotal;nMale;nFemale;nExp;nCtrl;mExp;mCtrl;sdExp;sdCtrl;sampleRestricted;meanAge;ageGroup;sampleDescription;controlsActive;Controls_string;controlsText;contrast;items;Fstat;tstat;chiSq;rstat;beta;B;otherES;df1;df2;pReported;dReported;interventionDuration(m);interventionDurationString;InterventionDurText;posttestDelay(day);posttestDelayString;posstestDelayText;Attitudes_theme;Att_type_exp_imp;explicitMeasure;explicitMeasure_description;implicitMeasure;implicitMeasure_description;compensation;inLabAdministration;controlledGameplay;gameGenre;gamegenrespecific;relevance_persuasion;relevance_persuasion_note;persuasive_mechanic;Commercial;Culture
4;1;1;dx.doi.org/10.1080/1369118X.2011.627176;1;1;Barthel;PRESIDENT FOR A DAY;2011;65;16;1;1;0;;;PRESIDENT FOR A DAY;presidency simulation focused on budgeting;2;1;;1;1;1;1;81;32;49;42;39;2.88;2.85;0.46;0.68;1;19.5;university students;"the sample consisted of undergraduates
at a large northeastern university.";0;nothing;;game vs no-game;8;0.01;;;;;;;1;79;> .95;;;;not mentioned in the article;0;0;;others;1;Likert;5-point Likert;;;;1;1;simulation/strategy;;1;;;0;USA
4;1;2;dx.doi.org/10.1080/1369118X.2011.627176;1;1;Barthel;PRESIDENT FOR A DAY;2011;65;16;1;1;0;;;PRESIDENT FOR A DAY;;2;1;;1;1;1;1;81;32;49;42;39;2.6;2.91;0.69;0.7;1;19.5;university students;"the sample consisted of undergraduates
at a large northeastern university.";0;nothing;;game vs no-game;4;2.03;;;;;;;1;79;< .05;;;;;0;0;;others;1;Likert;5-point Likert;;;;1;1;simulation/strategy;;1;;;0;USA
5;1;1;DOI: 10.1089/cyber.2018.0030;1;1;Pena;"Game Perspective-Taking Effects on Players’
Behavioral Intention, Attitudes, Subjective Norms,
and Self-Efficacy to Help Immigrants:
The Case of ‘‘Papers, Please’’";2018;51;6;1;1;0;yes - one part says that he measures towards immigrants, in the other that towards helping immigrants;;Papers, Please;border control simulator;3;1;;1;1;1;1;172;23;149;89;83;5.26;5.41;1.06;0.89;1;20.15;university students;"undergraduate students at a large U.S. West Coast university participated
in the study for extra credit";1;game sim mechanic;CG played a game called The Westport Independend, role-taking as an editor in a totalitarian state;game vs non-related topic game;7;0.61;;;;;;;1;169;0.43;;180;long;two sessions - each consisting of 2x45 minute walkthroughs;3;;post-test took place during the same week (unspecified when exactly);social justice;1;Semantic;Semantic differential;;;credit;;2;simulation/strategy;;1;;Perspective-taking;1;USA
5;1;2;DOI: 10.1089/cyber.2018.0030;1;1;Pena;"Game Perspective-Taking Effects on Players’
Behavioral Intention, Attitudes, Subjective Norms,
and Self-Efficacy to Help Immigrants:
The Case of ‘‘Papers, Please’’";2018;51;6;1;1;0;yes - one part says that he measures towards immigrants, in the other that towards helping immigrants;;Papers, Please;;3;1;;1;1;1;1;172;23;149;89;83;5.21;5.47;1.15;1.02;1;20.15;university students;"undergraduate students at a large U.S. West Coast university participated
in the study for extra credit";1;game sim mechanic;;game vs non-related topic game;7;2.15;;;;;;;1;169;0.14;;180;long;;3;short;;social justice;1;Semantic;Semantic differential;;;credit;;2;simulation/strategy;;1;;Perspective-taking;1;USA
6;1;1;https://doi.org/10.1016/j.appet.2018.05.141;1;1;Alblas et al.;"Investigating the impact of a health game on implicit attitudes towards food and food
choice behaviour of young adults";2018;76;7;1;1;0;;;Sky Islands;Flying islands, that sink if their inhabitants get too fat;2;1;;1;1;1;1;125;46;79;62;63;0.78;0.69;0.36;0.41;1;20.17;university students;128 undergraduate students¨at Radboud university, numbers from 125 students;1;game sim mechanic;instead of (un)healthy snacks clean and fossil fuels ;game vs non-related topic game;;2.21;;;;;;;1;118;0.07;;10;short;;0;immediate;;health;0;;;IAT;IAT;5 euro coupon;1;1;simulation/strategy;;2;;reward system;0;Netherlands
7;1;1;DOI: 10.1037/a0030038;3;3;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;37;141;1;1;0;missing data about Control condition in increasing anti-Arab attitudes;i am not sure about the methodolgy used - they told participants that the focus of the study is visual attention, which may have primed the participants to be more focused on retaining everything as they saw it (and since they saw very stereotypicaly portrayed Arabs, well... this study stinks);Counter Strike: Arab Terrorists;shooting game;4;1;;1;1;1;1;204;102;100;;;0.58;0.5;0.31;0.27;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game sim mechanic;;game with Arab visuals vs the same game with Russian visuals;;;;;;;;;;;;;30;medium;the whole experiment took 60-90 minutes per participant, gameplay lasted 30 minutes;0;immediate;;social justice;0;;;IAT;IAT european vs Arab (10 european vs. 10 arab sounding names + pleasant vs. unpleasant);two credits;1;1;action violent game;;1;;Stereotype rehearsal;1;USA
7;1;2;DOI: 10.1037/a0030038;3;3;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;37;141;1;1;0;missing data about Control condition in increasing anti-Arab attitudes;;Counter Strike: Arab Terrorists;shooting game;4;1;;1;1;1;1;204;102;100;;;0.58;0.41;0.31;0.36;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;;game with Arab visuals vs unrelated game;;7.74;;;;;;;1;175;< .01;0.42;30;medium;the whole experiment took 60-90 minutes per participant, gameplay lasted 30 minutes;0;immediate;;social justice;0;;;IAT;IAT european vs Arab;two credits;1;1;action violent game;;1;;Stereotype rehearsal;1;USA
7;1;3;DOI: 10.1037/a0030038;3;3;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;37;141;1;1;0;missing precise numbers in the control condition;;Counter Strike: Russian terrorists;shooting game;4;1;;1;1;1;1;204;102;100;;;0.5;0.41;0.27;0.36;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;;game with Russian  visuals vs unrelated game;;;;;;;;;;;;;30;medium;the whole experiment took 60-90 minutes per participant, gameplay lasted 30 minutes;0;immediate;;social justice;0;;;IAT;IAT european vs Arab;two credits;1;1;action violent game;;1;;Stereotype rehearsal;1;USA
7;1;4;DOI: 10.1037/a0030038;3;3;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;37;141;1;1;0;missing precise numbers in the control condition;;Counter Strike: Arab Terrorists;shooting game;4;1;;1;1;1;1;204;102;100;;;0.15;0.1;0.88;0.76;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game sim mechanic;;game with Arab visuals vs the same game with Russian visuals;;;;;;;;;;;;;30;medium;the whole experiment took 60-90 minutes per participant, gameplay lasted 30 minutes;0;immediate;;social justice;1;Semantic;"unclear - Arab-Focused Semantic Differential,
Attitude Toward Other Groups, Blatant and Subtle
Prejudice Scales,";;;two credits;1;1;action violent game;;1;;Stereotype rehearsal;1;USA
7;1;5;DOI: 10.1037/a0030038;3;3;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;37;141;1;1;0;missing precise numbers in the control condition;;Counter Strike: Arab Terrorists (switched with the one bellow, numbers were not coresponding);shooting game;4;1;;1;1;1;1;204;102;100;;;0.15;-0.22;0.88;0.95;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;;game with Arab visuals vs unrelated game;;5.44;;;;;;;1;186;< .05;0.34;30;medium;the whole experiment took 60-90 minutes per participant, gameplay lasted 30 minutes;0;immediate;;social justice;1;Semantic;"unclear - Arab-Focused Semantic Differential,
Attitude Toward Other Groups, Blatant and Subtle
Prejudice Scales,";;;two credits;1;1;action violent game;;1;;Stereotype rehearsal;1;USA
