"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"11_Greer_2017_Using a computer game to teach school-aged children about asthma","t",NA,153,"=",0.05,"=",0.96,0.960187602454067,"t(153) = .05, p = .96",FALSE,FALSE,FALSE,FALSE,1
"11_Greer_2017_Using a computer game to teach school-aged children about asthma","F",1,152,"=",21.43,"<",0.001,7.81458084684455e-06,"F(1, 152) = 21.43, p < .001",FALSE,FALSE,FALSE,FALSE,1
"11_Greer_2017_Using a computer game to teach school-aged children about asthma","F",1,152,"=",10.43,"=",0.002,0.00151953077734654,"F(1, 152) =
10.43, p = .002",FALSE,FALSE,FALSE,FALSE,1
"11_Greer_2017_Using a computer game to teach school-aged children about asthma","t",NA,153,"=",0.47,"=",0.3,0.639024237043878,"t(153) = .47, p = .30",TRUE,FALSE,FALSE,FALSE,1
"11_Greer_2017_Using a computer game to teach school-aged children about asthma","F",1,152,"=",4.06,"=",0.05,0.0456735187736623,"F(1, 152) = 4.06, p = .05",FALSE,FALSE,FALSE,FALSE,1
"11_Greer_2017_Using a computer game to teach school-aged children about asthma","F",1,152,"=",7.81,"=",0.006,0.00586582255330618,"F(1, 152) = 7.81, p = .006",FALSE,FALSE,FALSE,FALSE,1
"18_Teng_2011_Grand Theft Auto IV comes to Singapore","F",1,128,"=",10.4,"<",0.01,0.00159947846038985,"F(1, 128) = 10.4, p < 0.01",FALSE,FALSE,FALSE,FALSE,0.71
"18_Teng_2011_Grand Theft Auto IV comes to Singapore","F",1,128,"=",4.26,"<",0.05,0.0410402394359519,"F(1, 128) = 4.26, p < 0.05",FALSE,FALSE,FALSE,FALSE,0.71
"18_Teng_2011_Grand Theft Auto IV comes to Singapore","F",1,128,"=",5.65,"<",0.05,0.0189364159889914,"F(1, 128) = 5.65, p < 0.05",FALSE,FALSE,FALSE,FALSE,0.71
"18_Teng_2011_Grand Theft Auto IV comes to Singapore","F",1,128,"=",4.2,"<",0.05,0.0424669210626292,"F(1, 128) = 4.20, p < 0.05",FALSE,FALSE,FALSE,FALSE,0.71
"18_Teng_2011_Grand Theft Auto IV comes to Singapore","F",1,128,"=",18.1,"<",0.001,4.01530052103313e-05,"F(1, 128) = 18.1, p < 0.001",FALSE,FALSE,FALSE,FALSE,0.71
